-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
| <http://dbpedia.org/property/time>                                  | 1              | 1      |
| <http://dbpedia.org/property/lengthMi>                              | 1              | 1      |
| <http://dbpedia.org/property/irishName>                             | 1              | 9      |
| <http://dbpedia.org/ontology/lowestPosition>                        | 1              | 1      |
| <http://dbpedia.org/property/populationDate>                        | 1              | 2      |
| <http://dbpedia.org/property/welshName>                             | 1              | 3      |
| <http://dbpedia.org/ontology/map>                                   | 1              | 7      |
| <http://dbpedia.org/property/lastElection>                          | 1              | 1      |
| <http://dbpedia.org/property/areaSqmi>                              | 1              | 1      |
| <http://dbpedia.org/ontology/governmentMountain>                    | 1              | 1      |
| <http://dbpedia.org/ontology/borough>                               | 1              | 1      |
| <http://rdvocab.info/RDARelationshipsWEMI/manifestationOfWork>      | 1              | 21     |
| <http://dbpedia.org/ontology/governmentPlace>                       | 1              | 1      |
| <http://dbpedia.org/property/imageMap>                              | 1              | 7      |
| <http://dbpedia.org/property/openingDate>                           | 1              | 1      |
| <http://dbpedia.org/property/gdp>                                   | 1              | 1      |
| <http://dbpedia.org/property/completionDate>                        | 1              | 4      |
| <http://dbpedia.org/ontology/distanceToCardiff>                     | 1              | 1      |
| <http://dbpedia.org/ontology/nutsCode>                              | 1              | 1      |
| <http://dbpedia.org/ontology/city>                                  | 1              | 1      |
-------------------------------------------------------------------------------------------------
